key scientificName decimalLatitude decimalLongitude issues
2910675321 Polyommatus_coridon_(Poda_1761) 51.679788 -0.866026 fpwktinv
2910681015 Polyommatus_coridon_(Poda_1761) 51.520398 -1.15825 fpwktinv
2910681557 Polyommatus_coridon_(Poda_1761) 51.260322 -2.73944 fpwktinv
2910684095 Polyommatus_coridon_(Poda_1761) 50.965895 -1.923051 fpwktinv
2910686408 Polyommatus_coridon_(Poda_1761) 50.842633 -0.105228 fpwktinv
2910692695 Polyommatus_coridon_(Poda_1761) 50.542466 -2.431788 fpwktinv
2910697401 Polyommatus_coridon_(Poda_1761) 51.661383 -0.823111 fpwktinv
2910701157 Polyommatus_coridon_(Poda_1761) 52.037838 -0.055106 fpwktinv
2910713038 Polyommatus_coridon_(Poda_1761) 52.046339 -0.02557 fpwktinv
2910724783 Polyommatus_coridon_(Poda_1761) 51.171084 0.966865 fpwktinv
2910727932 Polyommatus_coridon_(Poda_1761) 51.648798 -2.34105 fpwktinv
2910730378 Polyommatus_coridon_(Poda_1761) 51.369504 0.562983 fpwktinv
2910732719 Polyommatus_coridon_(Poda_1761) 51.369817 0.548632 fpwktinv
2910743275 Polyommatus_coridon_(Poda_1761) 52.037597 -0.040536 fpwktinv
2910756614 Polyommatus_coridon_(Poda_1761) 51.360206 0.576829 fpwktinv
2910757352 Polyommatus_coridon_(Poda_1761) 51.801977 -2.197183 fpwktinv
2910772161 Polyommatus_coridon_(Poda_1761) 51.103375 1.148254 fpwktinv
2910776476 Polyommatus_coridon_(Poda_1761) 51.233407 -0.375704 fpwktinv
2910780539 Polyommatus_coridon_(Poda_1761) 51.259562 -0.317453 fpwktinv
2910780704 Polyommatus_coridon_(Poda_1761) 50.551405 -2.445985 fpwktinv
2910786959 Polyommatus_coridon_(Poda_1761) 51.260411 -2.72511 fpwktinv
2910787013 Polyommatus_coridon_(Poda_1761) 51.908283 -0.409622 fpwktinv
2910787530 Polyommatus_coridon_(Poda_1761) 51.062535 -1.266469 fpwktinv
2910800698 Polyommatus_coridon_(Poda_1761) 51.648798 -2.34105 fpwktinv
2910802390 Polyommatus_coridon_(Poda_1761) 51.22539 -0.447593 fpwktinv
2910813084 Polyommatus_coridon_(Poda_1761) 51.141886 1.379664 fpwktinv
2910823951 Polyommatus_coridon_(Poda_1761) 51.369817 0.548632 fpwktinv
